Ticker,Name,Sector,CapitalExpenditure_2024Q2,CapitalExpenditure_2024Q3,CapitalExpenditure_2024Q4,CapitalExpenditure_2025Q1,CashAndSTInvestments_2024Q2,CashAndSTInvestments_2024Q3,CashAndSTInvestments_2024Q4,CashAndSTInvestments_2025Q1,CashFromOps_2024Q2,CashFromOps_2024Q3,CashFromOps_2024Q4,CashFromOps_2025Q1,CostOfRevenue_2024Q2,CostOfRevenue_2024Q3,CostOfRevenue_2024Q4,CostOfRevenue_2025Q1,CurrentAssets_2024Q2,CurrentAssets_2024Q3,CurrentAssets_2024Q4,CurrentAssets_2025Q1,CurrentLiabilities_2024Q2,CurrentLiabilities_2024Q3,CurrentLiabilities_2024Q4,CurrentLiabilities_2025Q1,EPS_2024Q2,EPS_2024Q3,EPS_2024Q4,EPS_2025Q1,Exchange,IncomeTaxExpense_2024Q2,IncomeTaxExpense_2024Q3,IncomeTaxExpense_2024Q4,IncomeTaxExpense_2025Q1,InterestExpense_2024Q2,InterestExpense_2024Q3,InterestExpense_2024Q4,InterestExpense_2025Q1,Location,LongTermDebt_2024Q2,LongTermDebt_2024Q3,LongTermDebt_2024Q4,LongTermDebt_2025Q1,Market Value,NetIncome_2024Q2,NetIncome_2024Q3,NetIncome_2024Q4,NetIncome_2025Q1,OperatingIncome_2024Q2,OperatingIncome_2024Q3,OperatingIncome_2024Q4,OperatingIncome_2025Q1,OtherOperatingExpense_2024Q2,OtherOperatingExpense_2024Q3,OtherOperatingExpense_2024Q4,OtherOperatingExpense_2025Q1,Revenue_2024Q2,Revenue_2024Q3,Revenue_2024Q4,Revenue_2025Q1,TotalAssets_2024Q2,TotalAssets_2024Q3,TotalAssets_2024Q4,TotalAssets_2025Q1,TotalDebt_2024Q2,TotalDebt_2024Q3,TotalDebt_2024Q4,TotalDebt_2025Q1,TotalEquity_2024Q2,TotalEquity_2024Q3,TotalEquity_2024Q4,TotalEquity_2025Q1,TotalLiabilities_2024Q2,TotalLiabilities_2024Q3,TotalLiabilities_2024Q4,TotalLiabilities_2025Q1,GDP_2024Q1,GDP_2024Q2,GDP_2024Q3,GDP_2024Q4,GDP_2025Q1,GDPReal_2024Q1,GDPReal_2024Q2,GDPReal_2024Q3,GDPReal_2024Q4,GDPReal_2025Q1,Unemployment_2024Q1,Unemployment_2024Q2,Unemployment_2024Q3,Unemployment_2024Q4,Unemployment_2025Q1,InterestRate_2024Q1,InterestRate_2024Q2,InterestRate_2024Q3,InterestRate_2024Q4,InterestRate_2025Q1,IndustrialProd_2024Q1,IndustrialProd_2024Q2,IndustrialProd_2024Q3,IndustrialProd_2024Q4,IndustrialProd_2025Q1,Inflation_2024Q1,Inflation_2024Q2,Inflation_2024Q3,Inflation_2024Q4,Inflation_2025Q1,Market Cap
VIK,VIKING HOLDINGS LTD,Consumer Discretionary,-156861000.0,-114143000.0,-550403000.0,-146294000.0,1842142000.0,2385458000.0,2342372000.0,2765555000.0,419788000.0,828670000.0,370520000.0,587885000.0,878601000.0,909119000.0,822436000.0,593661000.0,2684821000.0,3186065000.0,3216539000.0,3695633000.0,5265063000.0,5465545000.0,5220565000.0,5886307000.0,0.38,0.86,0.24,-0.24,New York Stock Exchange Inc.,7486000.0,4872000.0,2893000.0,3167000.0,96024000.0,90002000.0,68719000.0,86704000.0,1,4642692000.0,4615215000.0,4866159000.0,4845553000.0,3397207.23,159619000.0,375094000.0,115809000.0,-105473000.0,426294000.0,489588000.0,229053000.0,-9267000.0,282366000.0,280030000.0,298240000.0,312662000.0,1587261000.0,1678737000.0,1349729000.0,897056000.0,8982671000.0,9548486000.0,10120685000.0,10703683000.0,5322738000.0,5312642000.0,5572463000.0,5536020000.0,-1180658000.0,-781408000.0,-218977000.0,-267474000.0,10163329000.0,10329894000.0,10339662000.0,10971157000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Mid-Cap
WABC,WESTAMERICA BANCORPORATION,Financials,-461000.0,-494000.0,-667000.0,-199000.0,486124000.0,502945000.0,601494000.0,727336000.0,19034000.0,40553000.0,29773000.0,42394000.0,74265000.0,74074000.0,69569000.0,66416000.0,,,,,,,,,1.33,1.31,1.19,1.16,NASDAQ,12673000.0,12708000.0,12016000.0,10802000.0,5307000.0,5645000.0,3466000.0,3396000.0,1,200000000.0,,,,383468.12,35462000.0,35057000.0,31700000.0,31037000.0,,,,,5307000.0,5645000.0,3466000.0,3396000.0,74265000.0,74074000.0,69569000.0,66416000.0,6312145000.0,6161143000.0,6076274000.0,5966624000.0,218832000.0,18953000.0,17985000.0,19992000.0,815600000.0,909040000.0,889957000.0,923138000.0,5496545000.0,5252103000.0,5186317000.0,5043486000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap
ABR,ARBOR REALTY TRUST REIT INC,Financials,0.0,0.0,10030000.0,29208000.0,737485000.0,687540000.0,503803000.0,308842000.0,69932000.0,84957000.0,46672000.0,150548000.0,156916000.0,156653000.0,151712000.0,131353000.0,,,,,346226000.0,544846000.0,749593000.0,557887000.0,0.25,0.31,0.32,0.16,New York Stock Exchange Inc.,3901000.0,5233000.0,752000.0,3591000.0,209227000.0,197710000.0,180002000.0,165251000.0,1,7467054000.0,7083962000.0,6411699000.0,5130913000.0,489210.18,57739000.0,68517000.0,70169000.0,40780000.0,,,,,209227000.0,197710000.0,180002000.0,165251000.0,156916000.0,156653000.0,151712000.0,131353000.0,14197212000.0,13881458000.0,13490981000.0,13367349000.0,7813280000.0,7628808000.0,7161292000.0,5688800000.0,3186639000.0,3163377000.0,3151970000.0,3129459000.0,11010573000.0,10718081000.0,10339011000.0,10237890000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap
CAVA,CAVA GROUP INC,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York Stock Exchange Inc.,,,,,,,,,1,,,,,1743586.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap
LULU,LULULEMON ATHLETICA INC,Consumer Discretionary,,-145086000.0,-178483000.0,-234982000.0,,1610112000.0,1188419000.0,1984336000.0,,443140000.0,300659000.0,1401390000.0,,958893000.0,995054000.0,1429545000.0,,3571744000.0,3605289000.0,3980302000.0,,1468651000.0,1803533000.0,1839630000.0,,3.15,2.87,6.14,NASDAQ,,165298000.0,152534000.0,309125000.0,,392922000.0,351870000.0,748403000.0,1,,1180823000.0,1223733000.0,1300637000.0,5746407.47,,392922000.0,351870000.0,748403000.0,,540226000.0,490661000.0,1042168000.0,,871959000.0,910945000.0,1139784000.0,,2371078000.0,2396660000.0,3611497000.0,,6744135000.0,7083669000.0,7603292000.0,,1458890000.0,1514101000.0,1575791000.0,,4031645000.0,3985732000.0,4324047000.0,,2712490000.0,3097937000.0,3279245000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Mid-Cap
SABR,SABRE CORP,Consumer Discretionary,-17874000.0,-22502000.0,-16096000.0,-17891000.0,612614000.0,668763000.0,724479000.0,651144000.0,28131000.0,27809000.0,82744000.0,-80603000.0,492390000.0,533541000.0,503062000.0,529937000.0,1166422000.0,1196016000.0,1163218000.0,1224011000.0,1085875000.0,1173137000.0,1141775000.0,1117156000.0,-0.18,-0.16,-0.19,0.09,NASDAQ,5920000.0,6900000.0,-16375000.0,-57062000.0,116428000.0,127669000.0,127933000.0,129353000.0,1,4789406000.0,4790313000.0,4834776000.0,4884699000.0,146186.24,-69760000.0,-62818000.0,-74698000.0,35335000.0,48722000.0,70127000.0,57091000.0,103398000.0,153938000.0,161046000.0,154571000.0,143282000.0,695050000.0,764714000.0,714724000.0,776617000.0,4666375000.0,4693158000.0,4634929000.0,4678325000.0,5006968000.0,5035291000.0,5117614000.0,5117606000.0,-1476912000.0,-1530050000.0,-1591771000.0,-1546553000.0,6143287000.0,6223208000.0,6226700000.0,6224878000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Micro-Cap
MAT,MATTEL INC,Consumer Discretionary,-34973000.0,-91490000.0,-45685000.0,-36194000.0,,,,,-252900000.0,155822000.0,862149000.0,24814000.0,548992000.0,864908000.0,810939000.0,418533000.0,,,,,,,,,0.17,1.09,0.42,-0.12,NASDAQ,9196000.0,106350000.0,10870000.0,-30565000.0,29984000.0,29371000.0,29359000.0,29234000.0,1,,,,,1640379.4,56860000.0,372376000.0,140862000.0,-40319000.0,83207000.0,488341000.0,158252000.0,-52980000.0,447529000.0,490655000.0,677214000.0,461076000.0,1079728000.0,1843904000.0,1646405000.0,826629000.0,,,,,,,,,,,,,,,,,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap
HUBG,HUB GROUP INC CLASS A,Industrials,-13731000.0,-11965000.0,-7627000.0,-19190000.0,220247000.0,186139000.0,98248000.0,112674000.0,69949000.0,43350000.0,604000.0,70035000.0,906864000.0,915329000.0,762834000.0,839915000.0,836707000.0,805396000.0,768329000.0,752812000.0,635154000.0,617913000.0,579481000.0,555416000.0,0.47,0.39,0.4,0.44,NASDAQ,8566000.0,7140000.0,5387000.0,8447000.0,3689000.0,3582000.0,3294000.0,3246000.0,1,209875000.0,187240000.0,164361000.0,152504000.0,643241.7,29015000.0,23603000.0,24372000.0,26847000.0,39115000.0,31672000.0,31588000.0,37273000.0,40516000.0,39891000.0,179088000.0,38028000.0,986495000.0,986892000.0,973510000.0,915216000.0,2858703000.0,2833125000.0,2868343000.0,2821525000.0,518347000.0,524948000.0,508511000.0,485454000.0,1641130000.0,1626270000.0,1691951000.0,1696199000.0,1217573000.0,1206855000.0,1176392000.0,1125326000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap
LNN,LINDSAY CORP,Industrials,-4754000.0,-5452000.0,-9142000.0,-9776000.0,140221000.0,190879000.0,194066000.0,172044000.0,30514000.0,53111000.0,21603000.0,12277000.0,92702000.0,109299000.0,116315000.0,124576000.0,488718000.0,493212000.0,502144000.0,526684000.0,123737000.0,125816000.0,129849000.0,144887000.0,1.85,1.17,1.57,2.44,New York Stock Exchange Inc.,-206000.0,2449000.0,4870000.0,6638000.0,767000.0,760000.0,752000.0,402000.0,1,115029000.0,114994000.0,114948000.0,114903000.0,427195.68,20379000.0,12736000.0,17164000.0,26576000.0,19936000.0,13500000.0,20883000.0,32124000.0,26561000.0,32199000.0,29083000.0,30364000.0,139199000.0,154998000.0,166281000.0,187064000.0,758101000.0,760232000.0,771001000.0,814185000.0,135091000.0,134386000.0,133590000.0,136018000.0,479996000.0,480893000.0,488459000.0,516419000.0,278105000.0,279339000.0,282542000.0,297766000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap
DH,DEFINITIVE HEALTHCARE CORP CLASS A,Health Care,-410000.0,-767000.0,-10901000.0,-7706000.0,120901000.0,137609000.0,105378000.0,106099000.0,14040000.0,19432000.0,8135000.0,26066000.0,13283000.0,13666000.0,14686000.0,15431000.0,368321000.0,368677000.0,370172000.0,273442000.0,153480000.0,148176000.0,161161000.0,156077000.0,-1.81,-1.12,-0.51,-0.95,NASDAQ,-21900000.0,-13724000.0,-5895000.0,-10886000.0,3763000.0,3749000.0,3509000.0,2433000.0,1,235968000.0,232668000.0,229368000.0,162385000.0,41531.57,-213635000.0,-130896000.0,-59075000.0,-107228000.0,-3149000.0,791000.0,332000.0,-6990000.0,53603000.0,48240000.0,47270000.0,50750000.0,63737000.0,62697000.0,62288000.0,59191000.0,1422420000.0,1181653000.0,1089389000.0,808657000.0,260199000.0,257190000.0,253112000.0,180608000.0,886288000.0,695560000.0,607194000.0,435905000.0,536132000.0,486093000.0,482195000.0,372752000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Nano-Cap
J,JACOBS SOLUTIONS INC,Industrials,-37664000.0,-38342000.0,-10333000.0,-17270000.0,1208661000.0,1144795000.0,1299657000.0,1204649000.0,482603000.0,196532000.0,107456000.0,-96431000.0,2162442000.0,-1319780000.0,2211689000.0,2172070000.0,5137609000.0,4895580000.0,4946964000.0,4444185000.0,4504255000.0,4079741000.0,3943095000.0,2959460000.0,1.17,2.51,-0.11,0.06,New York Stock Exchange Inc.,45272000.0,12750000.0,57149000.0,50576000.0,45789000.0,35673000.0,34820000.0,38580000.0,1,2091456000.0,1348594000.0,1717270000.0,2633620000.0,4769724.42,146934000.0,325436000.0,-18130000.0,5612000.0,170986000.0,-53080000.0,208418000.0,208648000.0,549956000.0,213903000.0,512849000.0,529697000.0,2883384000.0,-1158957000.0,2932956000.0,2910415000.0,15048290000.0,11759005000.0,11610849000.0,11210695000.0,3546543000.0,2752168000.0,3034074000.0,3115205000.0,7410895000.0,5387485000.0,5021559000.0,4694701000.0,7637395000.0,6371520000.0,6589290000.0,6515994000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Mid-Cap
CPS,COOPER STANDARD HOLDINGS INC,Consumer Discretionary,-11243000.0,-10937000.0,-11484000.0,-17543000.0,93793000.0,107734000.0,170035000.0,140368000.0,-12013000.0,27859000.0,74722000.0,-14851000.0,625422000.0,609041000.0,578733000.0,589891000.0,836569000.0,872036000.0,805256000.0,879245000.0,617620000.0,648190000.0,576783000.0,637113000.0,-4.34,-0.63,2.24,0.09,New York Stock Exchange Inc.,8080000.0,2861000.0,-38420000.0,2703000.0,28635000.0,29125000.0,28598000.0,28619000.0,1,1057322000.0,1058004000.0,1057839000.0,1058460000.0,257183.3,-76243000.0,-11057000.0,40214000.0,1552000.0,28927000.0,24986000.0,30321000.0,24375000.0,54013000.0,51326000.0,51699000.0,52803000.0,708362000.0,685353000.0,660753000.0,667069000.0,1766950000.0,1797538000.0,1733065000.0,1800082000.0,1202699000.0,1201041000.0,1191033000.0,1191874000.0,-160905000.0,-163050000.0,-133370000.0,-122302000.0,1927855000.0,1960588000.0,1866435000.0,1922384000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap
CPRX,CATALYST PHARMACEUTICALS INC,Health Care,-10000.0,-259000.0,-88000.0,,375693000.0,442331000.0,517553000.0,580656000.0,64135000.0,72871000.0,70877000.0,60043000.0,15405000.0,19277000.0,21643000.0,17911000.0,474429000.0,538998000.0,623609000.0,685718000.0,92318000.0,105395000.0,120678000.0,111649000.0,0.33,0.35,0.44,0.45,NASDAQ,14994000.0,13321000.0,18245000.0,14549000.0,3804000.0,,,5275000.0,1,2991000.0,2889000.0,2786000.0,2681000.0,637936.2,40794000.0,43884000.0,55936000.0,56737000.0,54246000.0,50909000.0,62843000.0,63367000.0,53059000.0,58509000.0,57334000.0,60143000.0,122710000.0,128695000.0,141820000.0,141421000.0,706360000.0,772010000.0,851411000.0,908872000.0,3376000.0,3282000.0,3188000.0,3091000.0,608655000.0,660941000.0,727632000.0,794283000.0,97705000.0,111069000.0,123779000.0,114589000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap
HZO,MARINEMAX INC,Consumer Discretionary,-15174000.0,-16741000.0,-18316000.0,-12659000.0,242424000.0,224326000.0,145010000.0,203507000.0,86304000.0,-782000.0,-146081000.0,72498000.0,515621000.0,369927000.0,298807000.0,442004000.0,1261202000.0,1273211000.0,1298423000.0,1323624000.0,1054442000.0,1069143000.0,1091447000.0,1139322000.0,1.37,0.17,0.77,0.14,New York Stock Exchange Inc.,11085000.0,4141000.0,2103000.0,1400000.0,18229000.0,17927000.0,18745000.0,18179000.0,1,364138000.0,355906000.0,347294000.0,339054000.0,140524.02,31550000.0,3999000.0,18066000.0,3300000.0,61027000.0,26799000.0,38972000.0,22741000.0,181072000.0,166396000.0,130682000.0,166770000.0,757720000.0,563122000.0,468461000.0,631515000.0,2593665000.0,2605068000.0,2634345000.0,2673101000.0,1234567000.0,1232953000.0,1317049000.0,1333589000.0,976934000.0,986249000.0,1003201000.0,1003379000.0,1616731000.0,1618819000.0,1631144000.0,1669722000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Micro-Cap
SSP,EW SCRIPPS CLASS A,Communication,-23560000.0,-13153000.0,-6398000.0,-5055000.0,26651000.0,34642000.0,23852000.0,23959000.0,26361000.0,140592000.0,153291000.0,-3309000.0,327107000.0,317486000.0,347648000.0,317153000.0,654702000.0,629510000.0,630015000.0,598148000.0,437872000.0,470598000.0,482394000.0,439670000.0,-0.15,0.369596,0.92,-0.22,NASDAQ,1912000.0,20161000.0,37847000.0,-13002000.0,52123000.0,54442000.0,48862000.0,43750000.0,1,2853692000.0,2737126000.0,2560560000.0,2558994000.0,40905.9,1429000.0,47776000.0,95387000.0,-3455000.0,56522000.0,135172000.0,187348000.0,31541000.0,190000000.0,193642000.0,193383000.0,175699000.0,573629000.0,646300000.0,728379000.0,524393000.0,5280956000.0,5254147000.0,5198575000.0,5116189000.0,2986067000.0,2867493000.0,2686592000.0,2707051000.0,1168185000.0,1219218000.0,1318014000.0,1319723000.0,4112771000.0,4034929000.0,3880561000.0,3796466000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Nano-Cap
XEL,XCEL ENERGY INC,Utilities,-1831000000.0,-1779000000.0,-2217000000.0,-1988000000.0,1598000000.0,1545000000.0,179000000.0,1123000000.0,1190000000.0,1737000000.0,664000000.0,1028000000.0,1636000000.0,1781000000.0,1832000000.0,2221000000.0,5699000000.0,5469000000.0,4325000000.0,5368000000.0,5900000000.0,5858000000.0,6459000000.0,6741000000.0,0.54,1.21,0.81,0.84,NASDAQ,154000000.0,159000000.0,140000000.0,170000000.0,303000000.0,305000000.0,297000000.0,309000000.0,1,27716000000.0,27471000000.0,27316000000.0,29396000000.0,11044267.92,302000000.0,682000000.0,464000000.0,483000000.0,449000000.0,911000000.0,347000000.0,677000000.0,943000000.0,952000000.0,941000000.0,1008000000.0,3028000000.0,3644000000.0,3120000000.0,3906000000.0,67927000000.0,69286000000.0,70035000000.0,72749000000.0,30559000000.0,29804000000.0,30208000000.0,32326000000.0,17954000000.0,19352000000.0,19522000000.0,19804000000.0,49973000000.0,49934000000.0,50513000000.0,52945000000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Large-Cap
HNRG,HALLADOR ENERGY,Utilities,-13170000.0,-11562000.0,-13761000.0,-11693000.0,6446000.0,3829000.0,7232000.0,6891000.0,23522000.0,-12906000.0,38949000.0,38419000.0,48970000.0,49645000.0,32513000.0,50439000.0,103907000.0,99797000.0,104858000.0,107052000.0,195539000.0,171600000.0,152903000.0,177052000.0,-0.27,0.04,,0.23,NASDAQ,-3011000.0,232000.0,-6015000.0,0.0,3326000.0,2254000.0,2990000.0,3226000.0,1,24734000.0,42918000.0,37394000.0,4000000.0,165256.7,-10204000.0,1554000.0,-215792000.0,9979000.0,-7508000.0,4712000.0,-479000.0,13917000.0,52363000.0,50687000.0,62185000.0,53431000.0,93825000.0,105044000.0,94219000.0,117787000.0,595169000.0,579730000.0,369120000.0,366097000.0,59575000.0,82495000.0,57150000.0,34953000.0,316170000.0,318797000.0,104285000.0,115348000.0,278999000.0,260933000.0,264835000.0,250749000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Micro-Cap
SMBC,SOUTHERN MISSOURI BANCORP INC,Financials,-1922000.0,-1431000.0,-1984000.0,-1372000.0,61395000.0,75591000.0,146078000.0,227136000.0,15221000.0,9992000.0,20138000.0,24104000.0,42862000.0,43835000.0,45008000.0,46145000.0,,,,,,,,,1.19,1.1,1.3,1.39,NASDAQ,3431000.0,3377000.0,4547000.0,4139000.0,29573000.0,30717000.0,31281000.0,30446000.0,1,125206000.0,130238000.0,130252000.0,127267000.0,147533.94,13530000.0,12458000.0,14653000.0,15683000.0,,,,,29573000.0,30717000.0,31281000.0,30446000.0,42862000.0,43835000.0,45008000.0,46145000.0,4604316000.0,4729200000.0,4907674000.0,4976496000.0,125206000.0,130238000.0,130252000.0,127267000.0,488748000.0,505629000.0,512371000.0,528790000.0,4115568000.0,4223571000.0,4395303000.0,4447706000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Micro-Cap
QNST,QUINSTREET INC,Communication,-3649000.0,-2606000.0,-2768000.0,-3013000.0,50488000.0,24982000.0,57835000.0,81815000.0,16556000.0,-13706000.0,38678000.0,30111000.0,180888000.0,250814000.0,255842000.0,241980000.0,169087000.0,206456000.0,219269000.0,228384000.0,126398000.0,157888000.0,159691000.0,156674000.0,-0.04,-0.02,-0.03,0.08,NASDAQ,489000.0,-49000.0,-45000.0,477000.0,165000.0,124000.0,126000.0,66000.0,1,7879000.0,7026000.0,6554000.0,7992000.0,194094.0,-2164000.0,-1366000.0,-1549000.0,4416000.0,-1439000.0,-1207000.0,-1388000.0,4912000.0,18872000.0,29612000.0,28142000.0,22950000.0,198321000.0,279219000.0,282596000.0,269842000.0,368546000.0,401172000.0,409647000.0,417235000.0,10969000.0,7026000.0,6554000.0,7992000.0,216825000.0,219818000.0,224252000.0,235475000.0,151721000.0,181354000.0,185395000.0,181760000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Micro-Cap
